Variable,(1) 渐进式,(2) 突破式,(3) 突破式L5,(4) 突破式L6
AI_utilize,0.0596**,0.0279,,
,(0.0250),(0.0180),,
Size,0.1271***,0.1277***,0.1502***,0.1657***
,(0.0185),(0.0142),(0.0328),(0.0442)
Age,-0.0644,-0.0754,-0.4627,-0.6699*
,(0.1008),(0.0792),(0.3041),(0.4042)
ROA,0.2711**,0.0075,-0.2768,-0.3648*
,(0.1187),(0.0942),(0.1783),(0.1932)
Leverage,-0.1086*,-0.1644***,-0.1708,-0.1004
,(0.0601),(0.0481),(0.1167),(0.1296)
Growth,-0.0317*,-0.0263*,-0.0198,-0.0449
,(0.0167),(0.0147),(0.0313),(0.0355)
Rdintensity,0.9714***,0.3183*,-0.3521,-0.7626*
,(0.3016),(0.1909),(0.3525),(0.4269)
L5_AI_utilize,,,0.1156***,
,,,(0.0314),
L6_AI_utilize,,,,0.0783
,,,,(0.0498)
N,19637,19637,6712,5248
adj. R2,0.3045,0.2423,0.3035,0.3396
