Variable,(1) OP,(2) LP,(3) HC
OP_AI,0.0917***,,
,(0.0311),,
AI_utilize,-0.5571***,-0.5931***,-0.0303
,(0.2049),(0.2047),(0.0288)
TFP_OP,0.0702**,,
,(0.0302),,
Size,0.2222***,0.2088***,0.2523***
,(0.0255),(0.0270),(0.0271)
Age,-0.3295***,-0.3315***,-0.3741**
,(0.1245),(0.1241),(0.1641)
ROA,0.2389,0.2320,0.2064
,(0.1539),(0.1536),(0.1697)
Leverage,-0.1745**,-0.1809***,-0.1950**
,(0.0685),(0.0687),(0.0848)
Growth,-0.0806***,-0.0813***,-0.0396*
,(0.0195),(0.0198),(0.0228)
Rdintensity,2.3430***,2.3191***,1.6704***
,(0.3279),(0.3241),(0.3429)
LP_AI,,0.0771***,
,,(0.0248),
TFP_LP,,0.0741**,
,,(0.0302),
HC_AI,,,0.0094***
,,,(0.0023)
HC,,,0.0191***
,,,(0.0039)
N,19035,19035,14186
adj. R2,0.6803,0.6804,0.7080
