Variable,(1) K_diversity1,(2) K_diversity2,(3) B_routines,(4) O_resource
AI_utilize,0.0113*,0.7881***,0.0215**,-0.0124***
,(0.0068),(0.2663),(0.0084),(0.0046)
Size,0.0381***,1.4999***,0.0218,0.0989***
,(0.0062),(0.2707),(0.0135),(0.0277)
Age,0.0035,-5.8635***,-0.1025,-0.0801*
,(0.0411),(1.3048),(0.1253),(0.0431)
ROA,0.1163**,2.1834*,-0.1989,-0.1419***
,(0.0523),(1.1500),(0.1243),(0.0459)
Leverage,-0.0362,-0.7494,-0.0021,-0.0172
,(0.0253),(0.6691),(0.0557),(0.0335)
Growth,-0.0062,-0.5284***,-0.0092,0.1678***
,(0.0068),(0.1737),(0.0146),(0.0268)
Rdintensity,0.4091***,8.4245**,-0.2013,0.3471***
,(0.1070),(3.5423),(0.3215),(0.1083)
N,19635,19637,19589,17086
adj. R2,0.3933,0.5676,0.3507,0.2811
