Variable,(1),(2),(3),(4)
Intercept,2.0858***,-7.2574***,,
,(0.0251),(0.4190),,
AI_utilize,0.4480***,0.2097***,0.1999***,0.0671***
,(0.0317),(0.0293),(0.0286),(0.0207)
Size,,0.3885***,0.3818***,0.2556***
,,(0.0177),(0.0177),(0.0238)
Age,,0.0789**,-0.0213,-0.2950**
,,(0.0362),(0.0309),(0.1236)
ROA,,1.8977***,1.9000***,0.3769**
,,(0.1674),(0.1670),(0.1466)
Leverage,,0.3211***,0.3465***,-0.1680**
,,(0.0671),(0.0663),(0.0684)
Growth,,-0.0936***,-0.0917***,-0.0691***
,,(0.0264),(0.0244),(0.0192)
Rdintensity,,6.3691***,6.0782***,2.0329***
,,(0.4582),(0.4278),(0.3082)
N,20241,20236,20236,19637
adj. R2,0.0245,0.2283,0.2314,0.6785
