Variable,(1) Innov1~L2.AI,(2) Innov1~L3.AI,(3) AI_utilize1,(4) L1.AI,(5) L2.AI,(6) L3.AI
L2_AI_utilize,0.0846***,,,,0.0876***,
,(0.0304),,,,(0.0283),
Size,0.4489***,0.4892***,0.2576***,0.2610***,0.2681***,0.2865***
,(0.0338),(0.0387),(0.0240),(0.0275),(0.0314),(0.0318)
Age,-0.2679,-0.5261**,-0.2913**,-0.4950***,-0.6437***,-0.6376**
,(0.1848),(0.2300),(0.1238),(0.1523),(0.2132),(0.2928)
ROA,-0.5064***,-0.6843***,0.3684**,0.3616**,0.2431,0.1163
,(0.1582),(0.1788),(0.1467),(0.1596),(0.1763),(0.1974)
Leverage,-0.1841*,-0.2767**,-0.1675**,-0.1106,-0.0519,-0.0898
,(0.1064),(0.1138),(0.0684),(0.0778),(0.0885),(0.0982)
Growth,-0.0381*,-0.0605**,-0.0696***,-0.0697***,-0.0481**,-0.0384
,(0.0228),(0.0247),(0.0192),(0.0203),(0.0224),(0.0258)
Rdintensity,1.8085***,1.5688***,2.0478***,1.8532***,1.6296***,1.4337***
,(0.4818),(0.5711),(0.3090),(0.3490),(0.3603),(0.4144)
L3_AI_utilize,,0.0709**,,,,0.0609*
,,(0.0312),,,,(0.0329)
AI_utilize1,,,1.3168***,,,
,,,(0.4884),,,
L1_AI_utilize,,,,0.0872***,,
,,,,(0.0246),,
N,13128,10706,19637,16015,13128,10706
adj. R2,0.7185,0.7338,0.6785,0.6942,0.7100,0.7288
